Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C51H65N7O8,903.4894620399999,5.750300000000006,2,11,166.85,10,
C53H65N7O7,911.49454742,7.124500000000008,3,10,162.48,11,
C48H60N6O8,848.4472628799999,5.5762000000000045,3,11,164.55999999999997,11,550.0
C50H64N8O8,904.484711008,6.368400000000006,3,11,178.88000000000002,10,55.0
C56H73N7O13,1051.5266353959998,2.8812000000000095,6,16,254.79,13,
C47H58N6O8,834.431612816,5.328600000000004,3,11,164.55999999999997,10,5500.0
C46H59N9O7S,881.425816228,4.554000000000005,2,13,181.19000000000003,10,
C57H74N8O9,1014.557875948,5.334700000000008,3,13,188.10999999999999,10,55.0
C55H70N8O8,970.5316611999999,5.319700000000007,3,12,178.88000000000002,10,550.0
C47H64N8O8,868.484711008,3.4939000000000098,2,11,175.72,10,
C48H66N8O8,882.500361072,4.088300000000007,2,12,167.88000000000002,10,5500.0
C55H70N8O9,986.52657582,4.556100000000008,3,13,188.10999999999999,10,55.0
C48H60N8O8,876.45341088,4.801700000000004,3,12,188.53,9,5500.0
C47H58N8O8,862.4377608159999,4.0812000000000035,3,12,188.01,9,
C58H76N8O9,1028.573526012,5.8957000000000095,3,13,188.10999999999999,10,
C58H76N8O9,1028.573526012,5.8957000000000095,3,13,188.10999999999999,10,
C56H72N8O9,1000.5422258839999,5.117100000000008,3,13,188.10999999999999,10,
C56H72N8O8,984.5473112639999,5.880700000000007,3,12,178.88000000000002,9,
C47H61N9O7S,895.4414662920001,5.1150000000000055,2,13,181.19000000000003,10,5500.0
C55H69N9O8,983.5269101679999,6.699700000000006,4,13,200.55999999999997,13,550.0
C52H62N8O8,926.4690609439999,6.767900000000006,4,12,197.31999999999996,11,55.0
C52H62N8O8,926.4690609439999,6.767900000000006,4,12,197.31999999999996,11,55.0
C55H69N9O8,983.5269101679999,6.699700000000006,4,13,200.55999999999997,13,55.0
C52H62N8O8,926.4690609439999,6.767900000000007,4,12,197.31999999999996,11,55.0
C53H67N9O8S,989.483331104,6.761200000000006,4,14,200.56000000000003,13,550.0
C50H60N8O8S,932.4254818799999,6.829400000000007,4,13,197.32000000000002,11,550.0
C51H63N9O8,929.4799599759999,6.106400000000005,4,13,202.25000000000003,11,
C50H63N7O8,889.473811976,5.579000000000006,3,11,175.64000000000001,10,55.0
C53H70N8O8,946.5316611999999,5.510800000000007,3,12,178.88000000000002,12,
C53H68N9O8S,990.4911561359999,5.433800000000006,5,13,199.70000000000002,13,550.0
