SMILES,Formula,Molecular weight,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds
COC(CN1CCN(CCc2ccc(C#N)c(OC)c2)CC1)c1ccc2C(=O)OCc2c1C,C26H31N3O4,449.23145647199993,3.0935000000000015,0,7,75.03000000000002,8
COc1cccc2OC(c3ccccc3)c3cc(ccc3-c12)N(C)S(C)(=O)=O,C22H21NO4S,395.119129152,4.239800000000004,0,4,55.84,4
COCc1ccc(NC(=O)c2c(-c3ccc(CO)cc3)n(c3ncnc(N)c23)C2(C)CC2)cc1,C26H27N5O3,457.2113897240001,4.0805000000000025,3,7,115.28999999999999,7
CCc1cc(O)c(F)cc1-c1cc(N[C@H]2C[C@@H]3CC[C@H](C2)N3)c2nc(N)ncc2c1,C23H26FN5O,407.2121386720001,3.9810000000000016,4,6,96.09,4
C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl,C21H22Cl2FN5O,449.118543904,5.0377000000000045,2,6,77.99000000000001,5
CC\C(=C(/c1cc2ccccc2[nH]1)c1ccc(\C=C\C(O)=O)cc1)c1ccc(Cl)cc1C(F)(F)F,C28H21ClF3NO2,495.121291252,8.307000000000004,2,1,53.089999999999996,6
Nc1c2CCCCc2nc2ccccc12,C13H14N2,198.115698448,2.695800000000001,1,2,38.91,0
Cc1cccnc1CCC1CCN(CC1)S(=O)(=O)CC1(CCOCC1)N(O)C=O,C20H31N3O5S,425.198442092,1.7612200000000005,1,6,100.03999999999999,8
OC(=O)COCc1ccc(\C=C\C23CCC(CC2)(CC3)OCc2c(onc2-c2c(Cl)cncc2Cl)C2CC2)cc1,C31H32Cl2N2O5,582.168827484,7.845000000000007,1,6,94.68,11
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,C31H37N5O3,527.289640044,5.986420000000006,2,6,80.65,7
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)C12CCC(CC1)(CC2)C(=O)NCCNC(=O)CCNC(=O)CCNC(=O)CCCCC[N+]1=C(\C=C\C=C\C=C2\N(C)c3ccc(cc3C2(C)C)S(O)(=O)=O)C(C)(C)c2cc(ccc12)S([O-])(=O)=O,C60H80N10O12S2,1196.5398599999996,5.754800000000013,6,15,306.8999999999999,26
CC1=CC(=O)C(=O)c2c3CCCCc3ccc12,C15H14O2,226.099379688,2.7341000000000015,0,2,34.14,0
Oc1ccc(C[C@H]2CNC(=S)N2C[C@H]2CCCN2C[C@H](Cc2ccccc2)N2C[C@H](Cc3ccc(O)cc3)N(CCc3ccccc3)C2=S)cc1,C42H49N5O2S2,719.3327678080001,6.031200000000007,3,5,65.45,14
CN(C)c1ccc(cc1)S(=O)(=O)c1sc2ncccc2c1-c1ccc(Cl)cc1,C21H17ClN2O2S2,428.041997464,5.515500000000005,0,5,50.27,4
N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,C32H37N5O5,571.279469284,1.1933000000000018,5,6,167.85,12
CC(C)n1cc(cn1)-c1nc(Nc2ccc(N3CCC(CC3)N(C)CCO)c(F)c2)ncc1C,C25H34FN7O,467.280886928,4.005020000000004,2,8,82.34,8
CC(C)=CCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,C20H20N2O2,320.15247788,3.9539000000000026,0,2,40.620000000000005,4
